,store_code_uc,year_week,y_counterfactual,y_predict,week_sales,region
5675,5400635,201508,906899.5496896635,906899.5496896635,863359.19,not affected by soda tax
5676,5400635,201509,904962.1647396634,904962.1647396634,862993.19,not affected by soda tax
5677,5400635,201510,895255.666522569,913883.2864644309,879335.81,not affected by soda tax
5678,5400635,201511,894242.3094925692,912869.929434431,866029.81,not affected by soda tax
5679,5400635,201512,893105.5992725688,911733.2192144307,861747.06,not affected by soda tax
5680,5400635,201513,888453.6930425693,907081.3129844312,864251.5,not affected by soda tax
5681,5400635,201514,907281.624512569,925909.2444544309,960158.44,not affected by soda tax
5682,5400635,201515,893779.9026425687,912407.5225844305,718334.63,not affected by soda tax
5683,5400635,201516,889658.2075925692,908285.827534431,850416.06,not affected by soda tax
5684,5400635,201517,890621.4838025685,909249.1037444304,849499.63,not affected by soda tax
5685,5400635,201518,892765.3155225686,911392.9354644305,829616.5,not affected by soda tax
5686,5400635,201519,900118.2850125687,918745.9049544306,855824.13,not affected by soda tax
5687,5400635,201520,889258.7598225691,907886.3797644309,819714.63,not affected by soda tax
5688,5400635,201521,886546.6318525688,905174.2517944307,838710.63,not affected by soda tax
5689,5400635,201522,890639.186102569,909266.8060444308,878422.75,not affected by soda tax
5690,5400635,201523,893013.5823325696,911641.2022744316,913515.06,not affected by soda tax
5691,5400635,201524,900439.2828325689,919066.9027744307,898317.0,not affected by soda tax
5692,5400635,201525,893942.0921925688,912569.7121344308,904843.06,not affected by soda tax
5693,5400635,201526,886999.7411125689,905627.3610544307,882167.31,not affected by soda tax
5694,5400635,201527,898057.3493225689,916684.9692644307,928424.94,not affected by soda tax
5695,5400635,201528,905575.2834525689,924202.9033944309,920132.63,not affected by soda tax
5696,5400635,201529,889199.109412569,907826.7293544308,880727.69,not affected by soda tax
5697,5400635,201530,889380.009072569,908007.6290144309,886029.44,not affected by soda tax
5698,5400635,201531,891184.9285925694,909812.5485344313,936620.19,not affected by soda tax
5699,5400635,201532,898795.3411025689,917422.9610444308,984265.38,not affected by soda tax
5700,5400635,201533,899191.118002569,917818.7379444308,1009710.4,not affected by soda tax
5701,5400635,201534,905830.6301825691,924458.250124431,1243253.5,not affected by soda tax
5702,5400635,201535,907451.2543925688,926078.8743344308,1204028.3,not affected by soda tax
5703,5400635,201536,905786.8225925688,924414.4425344307,1004038.3,not affected by soda tax
5704,5400635,201537,914513.2117625686,933140.8317044305,948529.44,not affected by soda tax
5705,5400635,201538,895075.3811925689,913703.0011344309,899848.31,not affected by soda tax
5706,5400635,201539,894113.6229125691,912741.2428544309,886647.0,not affected by soda tax
5707,5400635,201540,894036.210572569,912663.8305144309,891340.94,not affected by soda tax
5708,5400635,201541,901109.441082569,919737.0610244308,875352.88,not affected by soda tax
5709,5400635,201542,895489.5878525688,914117.2077944307,884161.0,not affected by soda tax
5710,5400635,201543,895627.4691025689,914255.0890444309,889831.13,not affected by soda tax
5711,5400635,201544,904995.4510125687,923623.0709544306,958257.06,not affected by soda tax
5712,5400635,201545,904772.3518925688,923399.9718344306,881490.94,not affected by soda tax
5713,5400635,201546,900257.6226125689,918885.2425544307,899571.56,not affected by soda tax
5714,5400635,201547,903124.4049525689,921752.0248944309,910648.31,not affected by soda tax
5715,5400635,201548,933537.6555425694,952165.2754844312,866950.94,not affected by soda tax
5716,5400635,201549,917290.111192569,935917.7311344309,995015.31,not affected by soda tax
5717,5400635,201550,912360.8085825689,930988.4285244308,988425.63,not affected by soda tax
5718,5400635,201551,922870.8643625692,941498.484304431,1048800.6,not affected by soda tax
5719,5400635,201552,939502.570472569,958130.1904144308,973559.06,not affected by soda tax
5720,5499071,201401,167583.25741197178,167583.25741197178,183848.84,not affected by soda tax
5721,5499071,201402,169850.56903197928,169850.56903197928,171742.08,not affected by soda tax
5722,5499071,201403,160310.2621019607,160310.2621019607,168333.61,not affected by soda tax
5723,5499071,201404,158926.3377719711,158926.3377719711,157614.14,not affected by soda tax
5724,5499071,201405,156245.12905197105,156245.12905197105,175664.84,not affected by soda tax
5725,5499071,201406,172471.63420197088,172471.63420197088,160316.41,not affected by soda tax
5726,5499071,201407,169392.9166219716,169392.9166219716,153388.09,not affected by soda tax
5727,5499071,201408,157450.30278197106,157450.30278197106,158760.67,not affected by soda tax
5728,5499071,201409,156438.30234197146,156438.30234197146,161142.91,not affected by soda tax
5729,5499071,201410,168315.0497119715,168315.0497119715,160707.45,not affected by soda tax
5730,5499071,201411,162807.13832197216,162807.13832197216,159390.05,not affected by soda tax
5731,5499071,201412,161980.03882197113,161980.03882197113,161967.38,not affected by soda tax
5732,5499071,201413,153680.17429197178,153680.17429197178,162204.89,not affected by soda tax
5733,5499071,201414,163031.50825197232,163031.50825197232,158565.92,not affected by soda tax
5734,5499071,201415,167731.25042197155,167731.25042197155,157813.11,not affected by soda tax
5735,5499071,201416,175813.86284197052,175813.86284197052,173012.78,not affected by soda tax
5736,5499071,201417,153265.042461972,153265.042461972,155921.41,not affected by soda tax
